CLAVE DE LA NORMA,TITULO,F. PUBLICACIÓN,F. ENTRADA EN VIGOR,TIPO NORMA,NORMA INTERNACIONAL,PRODUCTO,CONCORDANCIA,RAE,DEPENDENCIA,CCNN,DOCUMENTO
NOM-135-SCFI-2006,PRÁCTICAS COMERCIALES-REQUISITOS DE INFORMACIÓN EN LA VENTA DE MATERIALES PARA CONSTRUCCIÓN.,2006-06-28T00:00:00Z,2006-08-28T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,INFORMACION COMERCIAL,NO APLICA,"COMERCIO AL POR MENOR DE ARTÍCULOS DE FERRETERÍA, TLAPALERÍA Y VIDRIOS",SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2006/135scfi.pdf
NOM-135-SEMARNAT-2004,"PARA LA REGULACIÓN DE LA CAPTURA PARA INVESTIGACIÓN, TRANSPORTE, EXHIBICIÓN, MANEJO Y MANUTENCIÓN DE MAMÍFEROS MARINOS EN CAUTIVERIO.",2004-08-27T00:00:00Z,2004-11-20T00:00:00Z,DEFINITIVA,CONSULTAR TEXTO DE LA NOM.,PROTECCION ANIMAL,TOTALMENTE,"PESCA, CAZA Y CAPTURA",SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/2004/135semarnat.pdf
NOM-137-SEMARNAT-2013,CONTAMINACIÓN ATMOSFÉRICA.- COMPLEJOS PROCESADORES DE GAS.- CONTROL DE EMISIONES DE COMPUESTOS DE AZUFRE.,2014-02-20T00:00:00Z,2014-04-21T00:00:00Z,DEFINITIVA,ESTA NORMA NO COINCIDE CON NINGUNA NORMA O LINEAMIENTO INTERNACIONAL,PROTECCION AMBIENTAL,NO APLICA,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/2010/137semarnat2014.pdf
NOM-137-SSA1-2008,ETIQUETADO DE DISPOSITIVOS MÉDICOS.,2008-12-12T00:00:00Z,2008-02-10T00:00:00Z,DEFINITIVA,EN 980:2007 GRAPHICAL SYMBOLS FOR USE IN THE LABELLING OF MEDICAL DEVICES.,INSTRUMENTOS QUIRURGICOS,TOTALMENTE,HOSPITALES,SECRETARÍA DE SALUD,CCNN DE REGULACION Y FOMENTO SANITARIO (SSA1),http://www.economia-noms.gob.mx/normas/noms/2008/137ssa12008.pdf
NOM-138-SEMARNAT/SSA1-2012,LÍMITES MÁXIMOS PERMISIBLES DE HIDROCARBUROS EN SUELOS Y LINEAMIENTOS PARA EL MUESTREO EN LA CARACTERIZACIÓN Y ESPECIFICACIONES PARA LA REMEDIACIÓN.,2013-09-10T00:00:00Z,2013-11-09T00:00:00Z,DEFINITIVA,ESTA NORMA NO COINCIDE CON NINGUNA NORMA INTERNACIONAL .,PROTECCION AMBIENTAL,NO APLICA,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,SEMARNAT,CCNN DE REGULACION Y FOMENTO SANITARIO (SSA1),http://www.economia-noms.gob.mx/normas/noms/2010/138semarssa12013.pdf
NOM-138-SSA1-1995,"QUE ESTABLECE LAS ESPECIFICACIONES SANITARIAS DEL ALCOHOL  DESNATURALIZADO, ANTISÉPTICO Y GERMICIDA (UTILIZADO COMO MATERIAL DE  CURACIÓN), ASÍ COMO PARA EL ALCOHOL ETÍLICO DE 96ºG.L., SIN DESNATURALIZAR Y LAS ESPECIFICACIONES DE LOS LABORATORIOS O PLANTAS ENVASADORAS DE ALCOHOL.

",1997-01-10T00:00:00Z,1997-01-11T00:00:00Z,DEFINITIVA,CONSULTAR TEXTO,ALCOHOL,PARCIALMENTE,INDUSTRIA DE LAS BEBIDAS Y DEL TABACO,SECRETARÍA DE SALUD,CCNN DE REGULACION Y FOMENTO SANITARIO (SSA1),http://www.economia-noms.gob.mx/normas/noms/1997/138-ssa1.pdf
NOM-139-SCFI-2012,"INFORMACIÓN COMERCIAL-ETIQUETADO DE EXTRACTO NATURAL DE VAINILLA (VANILLA SPP), DERIVADOS Y SUSTITUTOS.",2012-07-10T00:00:00Z,2012-09-08T00:00:00Z,DEFINITIVA,LA PRESENTE NORMA OFICIAL MEXICANA NO COINCIDE CON NINGUNA NORMA INTERNACIONAL,VAINILLA,NO APLICA,INDUSTRIA ALIMENTARÍA,SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2010/139scfi2012mod.pdf
NOM-140-SCFI-1999,ARTÍCULOS ESCOLARES-TIJERAS-ESPECIFICACIONES Y MÉTODOS  DE PRUEBA.,2000-03-06T00:00:00Z,2000-09-06T00:00:00Z,DEFINITIVA,LA PRESENTE NORMA OFICIAL MEXICANA NO ES EQUIVALENTE CON NINGUNA NORMA INTERNACIONAL,ARTICULOS ESCOLARES,NO APLICA,INDUSTRIAS METÁLICAS BÁSICAS,SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2010/nom140scfi99mod.pdf
NOM-141-SEMARNAT-2003,"QUE ESTABLECE EL PROCEDIMIENTO PARA CARACTERIZAR LOS JALES, ASÍ COMO LAS ESPECIFICACIONES Y CRITERIOS PARA LA CARACTERIZACIÓN Y PREPARACIÓN DEL SITIO, PROYECTO, CONSTRUCCIÓN, OPERACIÓN Y POSTOPERACIÓN DE PRESAS DE JALES.",2004-09-13T00:00:00Z,2004-11-12T00:00:00Z,DEFINITIVA,NO CONCUERDA CON NORMA INTERNACIONAL ALGUNA,PROTECCION AMBIENTAL,NO APLICA,SERVICIOS RELACIONADOS CON LAS ACTIVIDADES AGROPECUARIAS Y FORESTALES,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/2004/141semarnat.pdf
NOM-141-SSA1/SCFI-2012,ETIQUETADO PARA PRODUCTOS COSMÉTICOS PREENVASADOS. ETIQUETADO SANITARIO Y COMERCIAL.,2012-09-19T00:00:00Z,2013-01-26T00:00:00Z,DEFINITIVA,"ISO/FDIS 22175:2005 (E), COSMETICS-PACKAGING AND LABELING.",INFORMACION COMERCIAL,TOTALMENTE,OTRAS INDUSTRIAS MANUFACTURERAS,SECRETARÍA DE SALUD,CCNN DE REGULACION Y FOMENTO SANITARIO (SSA1),http://www.economia-noms.gob.mx/normas/noms/2010/141ssascfi2012.pdf
NOM-142-SCFI-2000,"NIVELES DE PROTECCIÓN DE MATERIALES PARA BLINDAJES RESISTENTES A IMPACTOS BALÍSTICOS-ESPECIFICACIONES DE SEGURIDAD Y MÉTODOS DE PRUEBA (CANCELA A LA NOM-142-SCFI-2000, PUBLICADA EL 25 DE OCTUBRE DE 2000).(PARA SABER LA FECHA DE VIGENCIA, FAVOR DE CONSULTAR EL TEXTO DE LA NOM)",2001-02-02T00:00:00Z,,DEFINITIVA,NO EXISTE CONCORDANCIA,INFORMACION COMERCIAL,NO APLICA,OTRAS INDUSTRIAS MANUFACTURERAS,SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2001/142scfi.pdf
NOM-142-SEMARNAT-2003,QUE ESTABLECE LOS LINEAMIENTOS TÉCNICOS PARA EL COMBATE Y CONTROL DEL PSÍLIDO DEL EUCALIPTO GLYCASPIS BRIMBLECOMBEI MOORE,2003-12-31T00:00:00Z,2004-01-01T00:00:00Z,DEFINITIVA,NO COINCIDE CON NINGUNA NORMA O LINEAMIENTO INTERNACIONAL,PROTECCION AMBIENTAL,NO APLICA,APROVECHAMIENTO FORESTAL,SEMARNAT,CCNN DEL MEDIO AMBIENTE Y RECURSOS NATURALES,http://www.economia-noms.gob.mx/normas/noms/2003/142semarnat.pdf
NOM-142-SSA1-1995,BIENES Y SERVICIOS. BEBIDAS ALCOHÓLICAS. ESPECIFICACIONES SANITARIAS. ETIQUETADO SANITARIO Y COMERCIAL.,1997-07-09T00:00:00Z,1998-01-01T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,ALCOHOL,NO APLICA,INDUSTRIA DE LAS BEBIDAS Y DEL TABACO,SECRETARÍA DE SALUD,CCNN DE REGULACION Y FOMENTO SANITARIO (SSA1),http://www.economia-noms.gob.mx/normas/noms/2010/142ssa195mod2013.pdf
NOM-143-SEMARNAT-2003,"QUE ESTABLECE LAS ESPECIFICACIONES AMBIENTALES PARA EL MANEJO DE AGUA CONGÉNITA ASOCIADA A HIDROCARBUROS.
",2005-03-03T00:00:00Z,2005-05-27T00:00:00Z,DEFINITIVA,NO COINCIDE CON NINGUNA NORMA INTERNACIONAL,PROTECCION AMBIENTAL,NO APLICA,AGUA Y SUMINISTRO DE GAS POR DUCTOS,SEMARNAT,CCNN DEL SECTOR AGUA (CONAGUA),http://www.economia-noms.gob.mx/normas/noms/2005/143semarnat.pdf
NOM-143-SSA1-1995,BIENES Y SERVICIOS. MÉTODOS DE PRUEBA MICROBIOLÓGICOS PARA ALIMENTOS.  DETERMINACIÓN DE LISTERIA MONOCYTOGENES.,1997-11-19T00:00:00Z,1998-01-01T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA.,PROTECCION HUMANA,NO APLICA,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",SECRETARÍA DE SALUD,CCNN DE REGULACION Y FOMENTO SANITARIO (SSA1),http://www.economia-noms.gob.mx/normas/noms/1997/143-ssa1.pdf
NOM-144-SCFI-2000,BEBIDAS ALCOHÓLICAS-CHARANDA-ESPECIFICACIONES.,2001-02-14T00:00:00Z,2001-02-15T00:00:00Z,DEFINITIVA,LA PRESENTE NORMA OFICIAL MEXICANA NO ES EQUIVALENTE CON NINGUNA NORMA INTERNACIONAL,CHARANDA,NO APLICA,INDUSTRIA DE LAS BEBIDAS Y DEL TABACO,SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2001/144scfi.pdf
NOM-144-SEMARNAT-2012,"QUE ESTABLECE LAS MEDIDAS FITOSANITARIAS RECONOCIDAS INTERNACIONALMENTE PARA EL EMBALAJE DE MADERA, QUE SE UTILIZA EN EL COMERCIO INTERNACIONAL DE BIENES Y MERCANCÍAS.",2012-08-16T00:00:00Z,2012-10-15T00:00:00Z,DEFINITIVA,"""REGLAMENTACIÓN DEL EMBALAJE DE MADERA UTILIZADO EN EL COMERCIO INTERNACIONAL"" (2009).",PROTECCION VEGETAL,TOTALMENTE,ACTIVIDADES DEL GOBIERNO,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/2010/144semar2012.pdf
NOM-145-SCFI-2001,INFORMACIÓN COMERCIAL-ETIQUETADO DE MIEL EN SUS DIFERENTES PRESENTACIONES.,2001-04-23T00:00:00Z,2001-10-23T00:00:00Z,DEFINITIVA,"INCISOS 6.1, 6.2, 6.3 Y 6.4 DE LA NORMA INTERNACIONAL SUPLEMENTO 2 AL VOLUMEN III DEL CODEX ALIMENTA",INFORMACION COMERCIAL,TOTALMENTE,INDUSTRIA ALIMENTARÍA,SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2010/nom149scfi01mod.pdf
NOM-145-SEMARNAT-2003,CONFINAMIENTO DE RESIDUOS EN CAVIDADES CONSTRUIDAS POR DISOLUCIÓN EN DOMOS SALINOS GEOLÓGICAMENTE ESTABLES.,2004-08-27T00:00:00Z,2004-11-20T00:00:00Z,DEFINITIVA,ESTA NORMA NO COINCIDE CON NINGUNA NORMA INTERNACIONAL,PROTECCION AMBIENTAL,NO APLICA,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/2004/145semarnat.pdf
NOM-145/1-SCT3-2001,QUE REGULA LOS REQUISITOS Y ESPECIFICACIONES PARA EL ESTABLECIMIENTO Y FUNCIONAMIENTO DEL TALLER AERONÁUTICO.,2003-01-17T00:00:00Z,2003-04-15T00:00:00Z,DEFINITIVA,CONSULTAR TEXTO DE LA NOM.,AERONAVES,TOTALMENTE,TRANSPORTE AÉREO,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE AEREO (SCT3),http://www.economia-noms.gob.mx/normas/noms/2003/145-1sct3.pdf
NOM-145/2-SCT3-2001,QUE ESTABLECE EL CONTENIDO DEL MANUAL DE PROCEDIMIENTOS DEL TALLER DE AERONÁUTICO.,2003-03-17T00:00:00Z,2003-06-12T00:00:00Z,DEFINITIVA,CONSULTAR TEXTO,AERONAVES,TOTALMENTE,TRANSPORTE AÉREO,S. COMUNICACIONES Y TRANSPORTES,CCNN DE TRANSPORTE AEREO (SCT3),http://www.economia-noms.gob.mx/normas/noms/2003/145-2sct3.pdf
NOM-146-SCFI-2001,"PRODUCTOS DE VIDRIO-VIDRIO DE SEGURIDAD USADO EN LA CONSTRUCCIÓN-ESPECIFICACIONES Y MÉTODOS DE PRUEBA.(PARA SABER LA FECHA DE VIGENCIA, FAVOR DE CONSULTAR EL TEXTO DE LA NOM)
",2001-05-09T00:00:00Z,,DEFINITIVA,CONSULTAR TEXTO DE LA NOM.,VIDRIO,TOTALMENTE,OTRAS INDUSTRIAS MANUFACTURERAS,SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2001/146scfi.pdf
NOM-146-SEMARNAT-2005,ESTABLECE LA METODOLOGÍA PARA LA ELABORACIÓN DE PLANOS QUE PERMITAN LA UBICACIÓN CARTOGRÁFICA DE LA ZONA FEDERAL MARÍTIMO TERRESTRE Y TERRENOS GANADOS AL MAR QUE SE SOLICITEN EN CONCESIÓN.,2005-09-09T00:00:00Z,2005-12-03T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PROTECCION AMBIENTAL,NO APLICA,ACTIVIDADES DEL GOBIERNO,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/2005/nom-146-semarnat.pdf
NOM-147-SEMARNAT/SSA1-2004,"QUE ESTABLECE CRITERIOS PARA DETERMINAR LAS CONCENTRACIONES DE REMEDIACIÓN DE SUELOS CONTAMINADOS POR ARSÉNICO, BARIO, BERILIO, CADMIO, CROMO HEXAVALENTE, MERCURIO, NÍQUEL, PLATA, PLOMO, SELENIO, TALIO Y/O VANADIO.",2007-03-02T00:00:00Z,2007-05-01T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PROTECCION AMBIENTAL,NO APLICA,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,SEMARNAT,CCNN DE PREVENCION Y CONTROL DE ENFERMEDADES (SSA2).,http://www.economia-noms.gob.mx/normas/noms/2007/147semarssa1.pdf
NOM-148-SCFI-2008,"PRÁCTICAS COMERCIALES-COMERCIALIZACIÓN DE ANIMALES DE COMPAÑÍA O DE SERVICIO, Y PRESTACIÓN DE SERVICIOS PARA SU CUIDADO Y ADIESTRAMIENTO.",2008-08-13T00:00:00Z,2008-10-13T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,INFORMACION COMERCIAL,NO APLICA,SERVICIOS PERSONALES,SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2008/148scfi.pdf
NOM-148-SEMARNAT-2006,CONTAMINACIÓN ATMOSFÉRICA.- RECUPERACIÓN DE AZUFRE PROVENIENTE DE LOS PROCESOS DE REFINACIÓN DEL PETRÓLEO.,2007-11-28T00:00:00Z,2008-04-06T00:00:00Z,DEFINITIVA,ESTA NORMA NO COINCIDE CON NINGUNA NORMA INTERNACIONAL.,PROTECCION AMBIENTAL,NO APLICA,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/2007/148semarnat.pdf
NOM-149-SCFI-2001,CAFÉ VERACRUZ-ESPECIFICACIONES Y MÉTODOS DE PRUEBA.,2002-01-07T00:00:00Z,2002-01-08T00:00:00Z,DEFINITIVA,NO CONCUERDA CON NINGUNA NORMA INTERNACIONAL,CAFE,NO APLICA,AGRICULTURA,SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2010/nom149scfi01mod.pdf
NOM-149-SEMARNAT-2006,"QUE ESTABLECE LAS ESPECIFICACIONES DE PROTECCIÓN AMBIENTAL QUE DEBEN OBSERVARSE EN LAS ACTIVIDADES DE PERFORACIÓN, MANTENIMIENTO Y ABANDONO DE POZOS PETROLEROS EN LAS ZONAS MARINAS MEXICANAS.",2007-01-31T00:00:00Z,2007-04-28T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PROTECCION AMBIENTAL,NO APLICA,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/2007/149semarnat2007.pdf
NOM-150-SEMARNAT-2006,"QUE ESTABLECE LAS ESPECIFICACIONES TÉCNICAS DE PROTECCIÓN AMBIENTAL QUE DEBEN OBSERVARSE EN LAS ACTIVIDADES DE CONSTRUCCIÓN Y EVALUACIÓN PRELIMINAR DE POZOS GEOTÉRMICOS PARA EXPLORACIÓN, UBICADOS EN ZONAS AGRÍCOLAS, GANADERAS Y ERIALES, FUERA DE ÁREAS NATURALES PROTEGIDAS Y TERRENOS FORESTALES.",2007-03-06T00:00:00Z,2007-05-31T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PROTECCION AMBIENTAL,NO APLICA,ACTIVIDADES DEL GOBIERNO,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/2007/150semarnat2007.pdf
NOM-151-SCFI-2002,"PRÁCTICAS COMERCIALES-REQUISITOS QUE DEBEN OBSERVARSE PARA LA CONSERVACIÓN DE MENSAJES DE DATOS.(PARA SABER LA FECHA DE VIGENCIA, FAVOR DE CONSULTAR EL TEXTO DE LA NOM)",2002-06-04T00:00:00Z,2006-02-04T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,SERVICIOS,NO APLICA,SUMINISTRO Y PROCESAMIENTO DE INFORMACIÓN,SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2002/151scfi.pdf
NOM-151-SCT1-1999,INTERFAZ A REDES PÚBLICAS PARA EQUIPOS TERMINALES.,1999-09-20T00:00:00Z,1999-11-19T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA CON NORMAS INTERNACIONALES,EQUIPOS Y SISTEMAS DE COMUNICACION,NO APLICA,"FABRICACIÓN DE EQUIPO DE COMPUTACIÓN, COMUNICACIÓN, DE MEDICIÓN Y DE OTROS EQUIPOS, COMPONENTES Y AC",S. COMUNICACIONES Y TRANSPORTES,CCNN DE TELECOMUNICACIONES (SCT1),http://www.economia-noms.gob.mx/normas/noms/1999/151sct1.pdf
NOM-152-SCFI-2003,AMBAR DE CHIAPAS-ESPECIFICACIONES Y MÉTODOS DE PRUEBA.,2003-08-25T00:00:00Z,2003-08-26T00:00:00Z,DEFINITIVA,LA PRESENTE NORMA OFICIAL MEXICANA NO ES EQUIVALENTE CON NINGUNA NORMA INTERNACIONAL .,AMBAR,NO APLICA,APROVECHAMIENTO FORESTAL,SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2003/152scfi.pdf
NOM-152-SCT1-1999,INTERFAZ DIGITAL A REDES PÚBLICAS (INTERFAZ DIGITAL A 2 048 KBIT/S).,1999-09-20T00:00:00Z,1999-11-19T00:00:00Z,DEFINITIVA,"RECOMENDACIÓN G.704 DEL UIT-T, RECOMENDACIÓN G. 823",EQUIPOS Y SISTEMAS DE COMUNICACION,TOTALMENTE,"FABRICACIÓN DE EQUIPO DE COMPUTACIÓN, COMUNICACIÓN, DE MEDICIÓN Y DE OTROS EQUIPOS, COMPONENTES Y AC",S. COMUNICACIONES Y TRANSPORTES,CCNN DE TELECOMUNICACIONES (SCT1),http://www.economia-noms.gob.mx/normas/noms/1999/152sct1.pdf
NOM-152-SEMARNAT-2006,"QUE ESTABLECE LOS LINEAMIENTOS, CRITERIOS Y ESPECIFICACIONES DE LOS CONTENIDOS DE LOS PROGRAMAS DE MANEJO FORESTAL PARA EL APROVECHAMIENTO DE RECURSOS FORESTALES MADERABLES EN BOSQUES, SELVAS Y VEGETACIÓN DE ZONAS ÁRIDAS.",2008-10-17T00:00:00Z,2009-01-11T00:00:00Z,DEFINITIVA,NO EXISTE CONCORDANCIA,PROTECCION VEGETAL,NO APLICA,APROVECHAMIENTO FORESTAL,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/2008/152semarnat.pdf
NOM-153/1-SCFI-2003,GUILLOTINAS O CIZALLAS MANUALES-REQUISITOS TÉCNICOS DE SEGURIDAD Y MÉTODOS DE PRUEBA.,2003-05-30T00:00:00Z,2003-07-31T00:00:00Z,DEFINITIVA,LA PRESENTE NORMA OFICIAL MEXICANA NO CONCUERDA CON NINGUNA NORMA INTERNACIONAL,INFORMACION COMERCIAL,NO APLICA,INDUSTRIAS METÁLICAS BÁSICAS,SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2003/153-1scfi.pdf
NOM-154-SCFI-2005,"EQUIPOS CONTRA INCENDIO-EXTINTORES-SERVICIO DE MANTENIMIENTO Y RECARGA.
",2005-12-26T00:00:00Z,,DEFINITIVA,INCISO 4.3 DE LA NORMA INTERNACIONAL ISO/FDIS-11602-2,EXTINTORES,PARCIALMENTE,OTRAS INDUSTRIAS MANUFACTURERAS,SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2005/154scfi05mod.pdf
NOM-155-SCFI-2012,"LECHE-DENOMINACIONES, ESPECIFICACIONES FISICOQUÍMICAS, INFORMACIÓN COMERCIAL Y MÉTODOS DE PRUEBA.",2012-05-03T00:00:00Z,2012-10-30T00:00:00Z,DEFINITIVA,"CODEX STAN 207-1999,CODEX STAN 281-1971 Y CODEX STAN 282-1971",LECHE,PARCIALMENTE,INDUSTRIA ALIMENTARÍA,SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2010/155scfi2012.pdf
NOM-155-SEMARNAT-2007,QUE ESTABLECE LOS REQUISITOS DE PROTECCIÓN AMBIENTAL PARA LOS SISTEMAS DE LIXIVIACIÓN DE MINERALES DE ORO Y PLATA.,2010-01-15T00:00:00Z,2010-03-16T00:00:00Z,DEFINITIVA,CONSULTAR TEXTO DE LA NOM,PROTECCION AMBIENTAL,PARCIALMENTE,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/2010/155semarnat10b.pdf
NOM-156-SEMARNAT-2012,ESTABLECIMIENTO Y OPERACIÓN DE SISTEMAS DE MONITOREO DE LA CALIDAD DEL AIRE.,2012-07-16T00:00:00Z,2013-07-16T00:00:00Z,DEFINITIVA,ESTA NORMA OFICIAL MEXICANA NO ES EQUIVALENTE CON NORMAS INTERNACIONALES,PROTECCION AMBIENTAL,NO APLICA,ACTIVIDADES DEL GOBIERNO,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/2010/156semar2012.pdf
NOM-157-SCFI-2005,"EQUIPO DE PROTECCIÓN CONTRA INCENDIO-EXTINTORES COMO DISPOSITIVO DE SEGURIDAD DE USO EN VEHÍCULOS DE AUTOTRANSPORTE PARTICULAR, PÚBLICO Y DE CARGA EN GENERAL- ESPECIFICACIONES Y MÉTODOS DE PRUEBA.",2005-10-21T00:00:00Z,,DEFINITIVA,NO EXISTE CONCORDANCIA.,EXTINTORES,NO APLICA,"TRANSPORTE TERRESTRE DE PASAJEROS, EXCEPTO POR FERROCARRIL",SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2005/157scfi.pdf
NOM-157-SEMARNAT-2009,QUE ESTABLECE LOS ELEMENTOS Y PROCEDIMIENTOS PARA INSTRUMENTAR PLANES DE MANEJO DE RESIDUOS MINEROS.,2011-08-30T00:00:00Z,2011-10-29T00:00:00Z,DEFINITIVA,NO CONCUERDA CON NORMA INTERNACIONAL ALGUNA.,PROTECCION AMBIENTAL,NO APLICA,MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN,SEMARNAT,CCNN PARA LA PROTECCION AMBIENTAL (ECOL).,http://www.economia-noms.gob.mx/normas/noms/2010/157semar2011.pdf
NOM-158-SCFI-2003,"JAMÓN - DENOMINACIÓN Y CLASIFICACIÓN COMERCIAL, ESPECIFICACIONES FISICOQUÍMICAS, MICROBIOLÓGICAS, ORGANOLÉPTICAS, INFORMACIÓN COMERCIAL Y MÉTODOS DE PRUEBA.",2003-08-14T00:00:00Z,2003-12-14T00:00:00Z,DEFINITIVA,CODEX STAN 95-1981,JAMÓN,PARCIALMENTE,INDUSTRIA ALIMENTARÍA,SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2010/nom158scfi03mod.pdf
NOM-159-SCFI-2004,BEBIDAS ALCOHÓLICAS-SOTOL-ESPECIFICACIONES Y MÉTODOS DE PRUEBA.,2004-06-16T00:00:00Z,2004-06-17T00:00:00Z,DEFINITIVA,NO SE ESTABLECE CONCORDANCIA CON NORMAS INTERNACIONALES,SOTOL,NO APLICA,INDUSTRIA DE LAS BEBIDAS Y DEL TABACO,SECRETARÍA DE ECONOMÍA,"CCNN DE SEG. AL USUARIO, INF. COMERCIAL Y PRACTICAS DE COMERCIO (SCFI)",http://www.economia-noms.gob.mx/normas/noms/2004/159scfi.pdf
